Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,6.840000,6.910000,6.760000,6.760000,6.427125,10700
2016-11-15,6.740000,6.840000,6.720000,6.740000,6.408110,7100
2016-11-16,6.920000,7.080000,6.900000,6.900000,6.560232,9600
2016-11-17,6.900000,7.080000,6.900000,6.930000,6.588754,30000
2016-11-18,6.910000,7.090000,6.900000,6.910000,6.569739,9700
2016-11-21,6.860000,6.960000,6.740000,6.800000,6.465156,4700
2016-11-22,6.920000,7.030000,6.900000,6.940000,6.598261,16800
2016-11-23,6.850000,7.000000,6.850000,6.850000,6.512693,23400
2016-11-25,6.850000,6.930000,6.810000,6.870000,6.531708,24800
2016-11-28,6.840000,7.000000,6.840000,6.850000,6.512693,14600
2016-11-29,6.900000,6.950000,6.900000,6.900000,6.560232,19900
2016-11-30,7.150000,7.150000,6.870000,6.880000,6.541216,9000
2016-12-01,6.930000,7.000000,6.930000,6.950000,6.607769,32800
2016-12-02,6.840000,6.990000,6.840000,6.840000,6.503186,27300
2016-12-05,6.850000,7.000000,6.850000,6.920000,6.579247,33300
2016-12-06,6.800000,6.910000,6.800000,6.870000,6.531708,8700
2016-12-07,6.720000,6.750000,6.620000,6.750000,6.417618,17600
2016-12-08,6.880000,6.880000,6.620000,6.620000,6.294019,9000
2016-12-09,6.450000,6.610000,6.450000,6.550000,6.227467,9500
2016-12-12,6.500000,6.580000,6.490000,6.530000,6.208451,12000
2016-12-13,6.570000,6.590000,6.480000,6.510000,6.189436,22600
2016-12-14,6.540000,6.670000,6.540000,6.550000,6.227467,16100
2016-12-15,6.830000,6.830000,6.680000,6.780000,6.446141,20900
2016-12-16,6.690000,6.800000,6.580000,6.640000,6.313034,11200
2016-12-19,6.800000,6.800000,6.640000,6.680000,6.351065,15100
2016-12-20,6.820000,6.820000,6.720000,6.720000,6.389095,27800
2016-12-21,6.860000,6.930000,6.860000,6.870000,6.531708,11600
2016-12-22,6.850000,6.850000,6.800000,6.800000,6.465156,34000
2016-12-23,6.880000,6.930000,6.820000,6.830000,6.493679,16500
2016-12-27,6.800000,6.990000,6.800000,6.850000,6.512693,11200
2016-12-28,6.830000,6.950000,6.820000,6.820000,6.484171,10400
2016-12-29,6.740000,6.900000,6.740000,6.880000,6.541216,20400
2016-12-30,6.640000,6.940000,6.640000,6.940000,6.598261,9400
2017-01-03,6.740000,6.950000,6.740000,6.750000,6.417618,35100
2017-01-04,6.800000,6.970000,6.800000,6.970000,6.626784,8800
2017-01-05,7.000000,7.090000,6.970000,7.060000,6.712353,41200
2017-01-06,6.950000,7.190000,6.950000,7.040000,6.693338,13100
2017-01-09,6.940000,7.070000,6.940000,7.060000,6.712353,14500
2017-01-10,7.060000,7.100000,7.060000,7.100000,6.750383,2000
2017-01-11,7.410000,7.440000,7.260000,7.350000,6.988073,11700
2017-01-12,8.000000,8.100000,7.850000,7.940000,7.549020,31500
2017-01-13,8.260000,8.280000,8.200000,8.260000,7.853262,16000
2017-01-17,8.590000,8.590000,8.280000,8.390000,7.976861,43100
2017-01-18,8.200000,8.200000,8.080000,8.100000,7.701141,1900
