Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,14.510000,14.510000,14.510000,14.510000,14.510000,0
2018-10-16,14.750000,14.920000,14.750000,14.920000,14.920000,808
2018-10-17,15.200000,15.240000,15.160000,15.240000,15.240000,29630
2018-10-18,15.240000,15.240000,15.240000,15.240000,15.240000,0
2018-10-19,15.910000,15.910000,15.910000,15.910000,15.910000,737
2018-10-22,15.950000,15.950000,15.950000,15.950000,15.950000,294
2018-10-23,15.950000,15.950000,15.950000,15.950000,15.950000,0
2018-10-24,14.770000,15.240000,14.770000,15.240000,15.240000,616
2018-10-25,14.880000,15.010000,14.880000,15.010000,15.010000,920
2018-10-26,15.010000,15.010000,15.010000,15.010000,15.010000,0
2018-10-29,15.010000,15.010000,15.010000,15.010000,15.010000,0
2018-10-30,14.560000,14.560000,14.120000,14.120000,14.120000,356
2018-10-31,14.680000,14.680000,14.680000,14.680000,14.680000,286
2018-11-01,14.850000,14.850000,14.850000,14.850000,14.850000,161
2018-11-02,14.630000,14.630000,12.650000,13.250000,13.250000,4390
2018-11-05,13.000000,13.080000,13.000000,13.080000,13.080000,2053
2018-11-06,13.250000,13.250000,13.250000,13.250000,13.250000,325
2018-11-07,13.250000,13.350000,13.250000,13.350000,13.350000,417
2018-11-08,13.390000,13.930000,13.390000,13.930000,13.930000,1782
2018-11-09,13.580000,13.580000,13.580000,13.580000,13.580000,367
2018-11-12,13.620000,13.620000,13.620000,13.620000,13.620000,285
